sleep_hours;happiness;noise_level;roomid;light;dba;time_record;team
5;5;0;405;750;45;20:15;flipover
5;3;1;405;750;45;20:15;flipover
5;3;1;405;750;45;20:15;flipover
5;5;1;405;750;45;20:15;flipover
6;5;0;405;750;45;20:15;flipover
5;4;1;405;750;45;20:15;flipover
3;4;1;405;750;45;20:15;flipover
4;5;1;405;750;45;20:15;flipover
0;4;1;405;750;45;20:15;officehealth
5;3;0;405;750;45;20:15;officehealth
0;5;0;405;750;45;20:15;officehealth
5;5;1;405;750;45;20:15;officehealth
6;4;1;405;750;45;20:15;officehealth
5;4;0;405;750;45;20:18;xiot
6;4;1;405;750;45;20:18;xiot
5;4;0;404;800;70;20:20;Face authentication
3;5;1;404;800;70;20:20;Face authentication
4;5;1;404;800;70;20:20;Face authentication
4;4;0;404;800;70;20:20;Face authentication
5;5;1;404;800;70;20:20;extelligence
5;5;1;404;800;70;20:20;extelligence
5;5;1;404;800;70;20:20;extelligence
6;4;1;404;800;70;20:20;extelligence
4;1;0;404;800;70;20:20;extelligence
5;4;1;404;800;70;20:20;locata
4;5;1;404;800;70;20:20;locata
4;4;0;404;800;70;20:20;locata
2;4;1;404;800;70;20:20;locata
4;4;1;404;800;70;20:20;locata
4;4;1;404;800;70;20:20;locata
4;4;1;404;800;70;20:20;locata
2;5;1;403;800;60;20:23;should i go
3;4;0;403;800;60;20:23;should i go
3;4;0;403;800;60;20:23;should i go
2;3;0;403;800;60;20:23;should i go
3;4;1;403;800;60;20:23;should i go
5;3;1;403;800;60;20:23;should i go
5;4;1;403;800;60;20:25;beer buddy
6;3;0;403;800;60;20:25;beer buddy
4;1;0;403;800;60;20:25;beer buddy
10;4;0;403;800;60;20:25;beer buddy
7;4;1;403;800;60;20:25;beer buddy
7;4;1;403;800;60;20:28;siuts
5;3;0;403;800;60;20:28;siuts
5;4;0;403;800;60;20:28;siuts
4;4;1;403;800;60;20:28;siuts
3;4;0;403;800;60;20:28;siuts
5;4;1;403;800;60;20:28;siuts
3;5;1;401;490;45;20:29;open tartu
4;5;1;401;490;45;20:29;open tartu
5;5;1;401;490;45;20:29;open tartu
5;5;1;401;490;45;20:29;open tartu
4;5;1;401;490;45;20:29;open tartu
4;5;1;401;490;45;20:29;open tartu
5;4;1;402;800;50;20:30;Too7lus
6;5;1;402;800;50;20:30;Too7lus
6;5;1;402;800;50;20:30;Too7lus
4;5;1;402;800;50;20:30;Too7lus
5;5;1;402;800;50;20:30;Too7lus
4;2;1;402;800;50;20:30;Too7lus
4;4;1;402;800;50;20:30;Too7lus
5;1;1;402;800;50;20:30;Too7lus
6;4;1;202;450;60;20:37;hypesilo
4;5;0;202;450;60;20:37;hypesilo
6;5;0;202;450;60;20:37;hypesilo
5;4;1;207;450;60;20:40;network planner
5;4;1;207;450;60;20:40;network planner
5;4;1;207;450;60;20:40;network planner
6;4;1;207;450;60;20:40;network planner
